0 106 168
1 197 202
2 198 211
3 194 236
4 226 244
5 227 269
6 224 271
7 252 319
8 254 279
9 249 299
10 281 326
11 282 331
11 462 328
13 308 339
14 311 342
14 312 345
16 309 349
17 351 374
18 307 375
18 318 376
19 316 394
20 315 384
21 313 446
23 316 396
24 311 395
25 343 403
26 381 411
26 345 410
28 347 418
29 349 446
29 349 417
100 723 822
198 988 1149
298 1159 1537
399 1473 1994
497 1726 2336
994 2861 4473
1986 4964 9783
2970 7083 17962
9911 22814 76026
19822 48418 153118
29761 84673 229120
99182 322592 765977
198448 666971 1539372
297612 995073 2416050
